id,name,email
customerv1@hybris.com,Customer V1,customerv1@hybris.com
customerv2@hybris.com,Customer V2,customerv2@hybris.com
customerv3@hybris.com,Customer V3,customerv3@hybris.com
customerv4@hybris.com,Customer V4,customerv4@hybris.com
customers1@hybris.com,Customer S1,customers1@hybris.com
customers2@hybris.com,Customer S2,customers2@hybris.com
customerp1@hybris.com,Customer P1,customerp1@hybris.com
customerp2@hybris.com,Customer P2,customerp2@hybris.com
customerp3@hybris.com,Customer P3,customerp3@hybris.com
customerp4@hybris.com,Customer P4,customerp4@hybris.com
customerp5@hybris.com,Customer P5,customerp5@hybris.com
customerb1@hybris.com,Customer B1,customerb1@hybris.com
customerb2@hybris.com,Customer B2,customerb2@hybris.com
customerb3@hybris.com,Customer B3,customerb3@hybris.com
customerb4@hybris.com,Customer B4,customerb4@hybris.com
